Position,Player Name,Team Name,Rating,Career Best Rating
,,,Rating,
 1 (0) ,Shakib Al Hasan,BAN,389,"453 v Zimbabwe, 05/11/2009"
 2 (0) ,Mohammad Nabi,AFG,310,"349 v Zimbabwe, 26/02/2017"
 3 (0) ,Mehedi Hasan,BAN,284,"295 v India, 07/12/2022"
 4 (0) ,Rashid Khan,AFG,280,"359 v Pakistan, 21/09/2018"
 5 (0) ,Mitchell Santner,NZ,266,"317 v England, 10/03/2018"
 6 (0) ,Sikandar Raza,ZIM,261,"280 v India, 22/08/2022"
 7 (0) ,Wanindu Hasaranga,SL,240,"247 v India, 12/01/2023"
 8 (0) ,Zeeshan Maqsood,OMA,238,"238 v Nepal, 14/06/2022"
 9 (0) ,Assad Vala,PNG,233,"233 v United States, 25/11/2022"
 10 (1) This player has moved up in the rankings since the previous rankings update ,Chris Woakes,ENG,222,"312 v New Zealand, 10/03/2018"
 11 (1) This player has moved down in the rankings since the previous rankings update ,Dhananjaya de Silva,SL,221,"226 v India, 10/01/2023"
 12 (0) ,Andy McBrine,IRE,218,"218 v New Zealand, 12/07/2022"
 13 (0) ,Glenn Maxwell,AUS,214,"350 v England, 11/09/2015"
 14 (0) ,Josh Hazlewood,AUS,213,"214 v New Zealand, 08/09/2022"
 15 (0) ,Imad Wasim,PAK,208,"299 v Bangladesh, 05/07/2019"
 16 (0) ,Shadab Khan,PAK,204,"221 v Netherlands, 18/08/2022"
 17 (0) ,Rohan Mustafa,UAE,198,"209 v Nepal, 21/03/2022"
 18 (0) ,Alzarri Joseph,WI,197,"197 v New Zealand, 21/08/2022"
 19 (0) ,Steven Taylor,USA,194,"199 v Papua New Guinea, 25/11/2022"
 20 (0) ,Simi Singh,IRE,192,"197 v Zimbabwe, 08/09/2021"
