Position,Player Name,Team Name,Rating,Career Best Rating
,,,Rating,
 1 (0) ,Babar Azam,PAK,887,"898 v West Indies, 10/06/2022"
 2 (0) ,Rassie van der Dussen,SA,766,"796 v England, 19/07/2022"
 3 (0) ,Quinton de Kock,SA,759,"813 v Sri Lanka, 10/03/2019"
 4 (4) This player has moved up in the rankings since the previous rankings update ,Virat Kohli,IND,750,"911 v England, 12/07/2018"
 5 (1) This player has moved down in the rankings since the previous rankings update ,David Warner,AUS,747,"880 v Pakistan, 26/01/2017"
 6 (1) This player has moved down in the rankings since the previous rankings update ,Imam-ul-Haq,PAK,740,"815 v West Indies, 12/06/2022"
 7 (1) This player has moved down in the rankings since the previous rankings update ,Kane Williamson,NZ,721,"799 v India, 09/07/2019"
 8 (1) This player has moved down in the rankings since the previous rankings update ,Steve Smith,AUS,719,"752 v Pakistan, 22/01/2017"
 9 (0) ,Jonny Bairstow,ENG,710,"796 v India, 26/03/2021"
 10 (0) ,Rohit Sharma,IND,704,"885 v Sri Lanka, 06/07/2019"
 11 (0) ,Fakhar Zaman,PAK,699,"779 v England, 08/07/2021"
 12 (0) ,Shai Hope,WI,679,"808 v Bangladesh, 17/05/2019"
 13 (0) ,Joe Root,ENG,670,"824 v Sri Lanka, 13/10/2018"
 14 (0) ,Paul Stirling,IRE,664,"697 v Netherlands, 04/06/2021"
 15 (0) ,Shreyas Iyer,IND,663,"673 v Bangladesh, 07/12/2022"
 16 (0) ,Tamim Iqbal,BAN,655,"737 v West Indies, 28/07/2018"
 17 (0) ,Jason Roy,ENG,649,"782 v Australia, 11/07/2019"
 18 (0) ,Tom Latham,NZ,640,"657 v Pakistan, 09/01/2023"
 19 (0) ,David Miller,SA,639,"648 v India, 09/10/2022"
 20 (0) ,Alex Carey,AUS,635,"669 v West Indies, 26/07/2021"
 21 (0) ,Aaron Finch,AUS,635,"798 v England, 25/06/2019"
 22 (0) ,Mushfiqur Rahim,BAN,635,"739 v Sri Lanka, 25/05/2021"
 23 (0) ,Glenn Maxwell,AUS,632,"735 v India, 20/01/2016"
 24 (0) ,Rahmat Shah,AFG,628,"635 v Sri Lanka, 27/11/2022"
 25 (0) ,Harry Tector,IRE,626,"626 v New Zealand, 15/07/2022"
 26 (10) This player has moved up in the rankings since the previous rankings update ,Shubman Gill,IND,624,"624 v Sri Lanka, 15/01/2023"
 27 (1) This player has moved down in the rankings since the previous rankings update ,Nicholas Pooran,WI,622,"634 v Ireland, 12/01/2020"
 28 (1) This player has moved down in the rankings since the previous rankings update ,Shikhar Dhawan,IND,616,"813 v Pakistan, 23/09/2018"
 29 (1) This player has moved down in the rankings since the previous rankings update ,Martin Guptill,NZ,615,"789 v South Africa, 01/03/2017"
 30 (1) This player has moved down in the rankings since the previous rankings update ,Travis Head,AUS,610,"670 v England, 24/06/2018"
 31 (1) This player has moved down in the rankings since the previous rankings update ,Litton Das,BAN,609,"627 v Zimbabwe, 05/08/2022"
