Position,Player Name,Team Name,Rating,Career Best Rating
,,,Rating,
 1 (0) ,Rashid Khan,AFG,698,"816 v Bangladesh, 05/06/2018"
 2 (0) ,Wanindu Hasaranga,SL,695,"797 v West Indies, 04/11/2021"
 3 (0) ,Adil Rashid,ENG,692,"746 v West Indies, 30/01/2022"
 4 (0) ,Josh Hazlewood,AUS,690,"806 v Sri Lanka, 13/02/2022"
 5 (0) ,Sam Curran,ENG,688,"688 v Pakistan, 13/11/2022"
 6 (0) ,Tabraiz Shamsi,SA,681,"821 v West Indies, 03/07/2021"
 7 (0) ,Adam Zampa,AUS,678,"743 v Sri Lanka, 11/02/2022"
 8 (0) ,Mujeeb Ur Rahman,AFG,677,"745 v Ireland, 08/03/2020"
 9 (0) ,Anrich Nortje,SA,659,"695 v India, 12/06/2022"
 10 (0) ,Maheesh Theekshana,SL,643,"680 v Pakistan, 11/09/2022"
 11 (0) ,Mitchell Santner,NZ,640,"731 v Pakistan, 22/01/2018"
 12 (0) ,Akeal Hosein,WI,637,"681 v India, 06/08/2022"
 13 (0) ,Tim Southee,NZ,633,"669 v Bangladesh, 01/04/2021"
 14 (0) ,Keshav Maharaj,SA,633,"662 v India, 04/10/2022"
 15 (0) ,Haris Rauf,PAK,632,"632 v England, 13/11/2022"
 16 (0) ,Shaheen Afridi,PAK,630,"634 v Australia, 05/04/2022"
 17 (0) ,Shadab Khan,PAK,628,"769 v Scotland, 13/06/2018"
 18 (0) ,Bhuvneshwar Kumar,IND,628,"682 v Afghanistan, 08/09/2022"
 19 (0) ,Trent Boult,NZ,628,"653 v Sri Lanka, 29/10/2022"
 20 (0) ,Fazalhaq Farooqi,AFG,621,"621 v Australia, 04/11/2022"
 21 (0) ,Arshdeep Singh,IND,616,"616 v Sri Lanka, 07/01/2023"
 22 (0) ,Reece Topley,ENG,605,"662 v Australia, 12/10/2022"
 23 (0) ,Ish Sodhi,NZ,602,"661 v Bangladesh, 28/03/2021"
 24 (0) ,Nasum Ahmed,BAN,594,"637 v Afghanistan, 05/03/2022"
 25 (0) ,Ashton Agar,AUS,589,"717 v England, 06/09/2020"
 26 (0) ,Ravichandran Ashwin,IND,588,"765 v Sri Lanka, 14/02/2016"
 27 (0) ,Akshar Patel,IND,584,"617 v South Africa, 28/09/2022"
 28 (0) ,Mark Wood,ENG,583,"610 v Sri Lanka, 24/06/2021"
